"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1983","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","121.10","","","","2"
"1983","Halifax","","Dollars","81","units ","0","v812689","2","112.00","","","","2"
"1983","Montréal","","Dollars","81","units ","0","v812688","3","111.60","","","","2"
"1983","Ottawa","","Dollars","81","units ","0","v812687","4","109.90","","","","2"
"1983","Toronto","","Dollars","81","units ","0","v812686","5","136.20","","","","2"
"1983","Winnipeg","","Dollars","81","units ","0","v812685","6","134.20","","","","2"
"1983","Saskatoon","","Dollars","81","units ","0","v812684","7","125.20","","","","2"
"1983","Regina","","Dollars","81","units ","0","v812683","8","122.10","","","","2"
"1983","Calgary","","Dollars","81","units ","0","v812682","9","121.60","","","","2"
"1983","Edmonton","","Dollars","81","units ","0","v812681","10","122.60","","","","2"
"1983","Vancouver","","Dollars","81","units ","0","v812680","11","132.90","","","","2"
"1984","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","121.80","","","","2"
"1984","Halifax","","Dollars","81","units ","0","v812689","2","109.10","","","","2"
"1984","Montréal","","Dollars","81","units ","0","v812688","3","110.20","","","","2"
"1984","Ottawa","","Dollars","81","units ","0","v812687","4","108.80","","","","2"
"1984","Toronto","","Dollars","81","units ","0","v812686","5","136.70","","","","2"
"1984","Winnipeg","","Dollars","81","units ","0","v812685","6","136.50","","","","2"
"1984","Saskatoon","","Dollars","81","units ","0","v812684","7","122.00","","","","2"
"1984","Regina","","Dollars","81","units ","0","v812683","8","126.00","","","","2"
"1984","Calgary","","Dollars","81","units ","0","v812682","9","121.10","","","","2"
"1984","Edmonton","","Dollars","81","units ","0","v812681","10","122.50","","","","2"
"1984","Vancouver","","Dollars","81","units ","0","v812680","11","140.30","","","","2"
"1985","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","127.80","","","","2"
"1985","Halifax","","Dollars","81","units ","0","v812689","2","113.70","","","","2"
"1985","Montréal","","Dollars","81","units ","0","v812688","3","115.80","","","","2"
"1985","Ottawa","","Dollars","81","units ","0","v812687","4","113.80","","","","2"
"1985","Toronto","","Dollars","81","units ","0","v812686","5","145.10","","","","2"
"1985","Winnipeg","","Dollars","81","units ","0","v812685","6","142.40","","","","2"
"1985","Saskatoon","","Dollars","81","units ","0","v812684","7","133.40","","","","2"
"1985","Regina","","Dollars","81","units ","0","v812683","8","137.10","","","","2"
"1985","Calgary","","Dollars","81","units ","0","v812682","9","129.20","","","","2"
"1985","Edmonton","","Dollars","81","units ","0","v812681","10","129.90","","","","2"
"1985","Vancouver","","Dollars","81","units ","0","v812680","11","144.90","","","","2"
"1986","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","133.60","","","","2"
"1986","Halifax","","Dollars","81","units ","0","v812689","2","121.90","","","","2"
"1986","Montréal","","Dollars","81","units ","0","v812688","3","119.00","","","","2"
"1986","Ottawa","","Dollars","81","units ","0","v812687","4","118.90","","","","2"
"1986","Toronto","","Dollars","81","units ","0","v812686","5","148.80","","","","2"
"1986","Winnipeg","","Dollars","81","units ","0","v812685","6","145.30","","","","2"
"1986","Saskatoon","","Dollars","81","units ","0","v812684","7","136.70","","","","2"
"1986","Regina","","Dollars","81","units ","0","v812683","8","139.00","","","","2"
"1986","Calgary","","Dollars","81","units ","0","v812682","9","133.30","","","","2"
"1986","Edmonton","","Dollars","81","units ","0","v812681","10","131.70","","","","2"
"1986","Vancouver","","Dollars","81","units ","0","v812680","11","153.60","","","","2"
"1987","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","146.80","","","","2"
"1987","Halifax","","Dollars","81","units ","0","v812689","2","133.50","","","","2"
"1987","Montréal","","Dollars","81","units ","0","v812688","3","124.70","","","","2"
"1987","Ottawa","","Dollars","81","units ","0","v812687","4","131.90","","","","2"
"1987","Toronto","","Dollars","81","units ","0","v812686","5","162.10","","","","2"
"1987","Winnipeg","","Dollars","81","units ","0","v812685","6","157.40","","","","2"
"1987","Saskatoon","","Dollars","81","units ","0","v812684","7","142.20","","","","2"
"1987","Regina","","Dollars","81","units ","0","v812683","8","147.90","","","","2"
"1987","Calgary","","Dollars","81","units ","0","v812682","9","147.00","","","","2"
"1987","Edmonton","","Dollars","81","units ","0","v812681","10","145.40","","","","2"
"1987","Vancouver","","Dollars","81","units ","0","v812680","11","176.40","","","","2"
"1988","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","149.30","","","","2"
"1988","Halifax","","Dollars","81","units ","0","v812689","2","141.80","","","","2"
"1988","Montréal","","Dollars","81","units ","0","v812688","3","129.00","","","","2"
"1988","Ottawa","","Dollars","81","units ","0","v812687","4","132.50","","","","2"
"1988","Toronto","","Dollars","81","units ","0","v812686","5","159.90","","","","2"
"1988","Winnipeg","","Dollars","81","units ","0","v812685","6","153.20","","","","2"
"1988","Saskatoon","","Dollars","81","units ","0","v812684","7","140.90","","","","2"
"1988","Regina","","Dollars","81","units ","0","v812683","8","146.80","","","","2"
"1988","Calgary","","Dollars","81","units ","0","v812682","9","148.80","","","","2"
"1988","Edmonton","","Dollars","81","units ","0","v812681","10","146.20","","","","2"
"1988","Vancouver","","Dollars","81","units ","0","v812680","11","182.80","","","","2"
"1989","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","174.40","","","","2"
"1989","Halifax","","Dollars","81","units ","0","v812689","2","163.70","","","","2"
"1989","Montréal","","Dollars","81","units ","0","v812688","3","153.80","","","","2"
"1989","Ottawa","","Dollars","81","units ","0","v812687","4","152.90","","","","2"
"1989","Toronto","","Dollars","81","units ","0","v812686","5","183.20","","","","2"
"1989","Winnipeg","","Dollars","81","units ","0","v812685","6","176.30","","","","2"
"1989","Saskatoon","","Dollars","81","units ","0","v812684","7","166.40","","","","2"
"1989","Regina","","Dollars","81","units ","0","v812683","8","170.10","","","","2"
"1989","Calgary","","Dollars","81","units ","0","v812682","9","171.50","","","","2"
"1989","Edmonton","","Dollars","81","units ","0","v812681","10","169.70","","","","2"
"1989","Vancouver","","Dollars","81","units ","0","v812680","11","211.60","","","","2"
"1990","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","190.20","","","","2"
"1990","Halifax","","Dollars","81","units ","0","v812689","2","173.40","","","","2"
"1990","Montréal","","Dollars","81","units ","0","v812688","3","158.40","","","","2"
"1990","Ottawa","","Dollars","81","units ","0","v812687","4","164.90","","","","2"
"1990","Toronto","","Dollars","81","units ","0","v812686","5","198.30","","","","2"
"1990","Winnipeg","","Dollars","81","units ","0","v812685","6","197.70","","","","2"
"1990","Saskatoon","","Dollars","81","units ","0","v812684","7","175.60","","","","2"
"1990","Regina","","Dollars","81","units ","0","v812683","8","180.50","","","","2"
"1990","Calgary","","Dollars","81","units ","0","v812682","9","188.40","","","","2"
"1990","Edmonton","","Dollars","81","units ","0","v812681","10","185.20","","","","2"
"1990","Vancouver","","Dollars","81","units ","0","v812680","11","230.20","","","","2"
"1991","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","180.80","","","","2"
"1991","Halifax","","Dollars","81","units ","0","v812689","2","176.00","","","","2"
"1991","Montréal","","Dollars","81","units ","0","v812688","3","173.40","","","","2"
"1991","Ottawa","","Dollars","81","units ","0","v812687","4","172.60","","","","2"
"1991","Toronto","","Dollars","81","units ","0","v812686","5","203.60","","","","2"
"1991","Winnipeg","","Dollars","81","units ","0","v812685","6","200.50","","","","2"
"1991","Saskatoon","","Dollars","81","units ","0","v812684","7","169.30","","","","2"
"1991","Regina","","Dollars","81","units ","0","v812683","8","174.50","","","","2"
"1991","Calgary","","Dollars","81","units ","0","v812682","9","171.30","","","","2"
"1991","Edmonton","","Dollars","81","units ","0","v812681","10","173.30","","","","2"
"1991","Vancouver","","Dollars","81","units ","0","v812680","11","192.50","","","","2"
"1992","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","177.90","","","","2"
"1992","Halifax","","Dollars","81","units ","0","v812689","2","169.80","","","","2"
"1992","Montréal","","Dollars","81","units ","0","v812688","3","175.00","","","","2"
"1992","Ottawa","","Dollars","81","units ","0","v812687","4","173.90","","","","2"
"1992","Toronto","","Dollars","81","units ","0","v812686","5","198.60","","","","2"
"1992","Winnipeg","","Dollars","81","units ","0","v812685","6","193.90","","","","2"
"1992","Saskatoon","","Dollars","81","units ","0","v812684","7","162.60","","","","2"
"1992","Regina","","Dollars","81","units ","0","v812683","8","167.20","","","","2"
"1992","Calgary","","Dollars","81","units ","0","v812682","9","167.20","","","","2"
"1992","Edmonton","","Dollars","81","units ","0","v812681","10","169.90","","","","2"
"1992","Vancouver","","Dollars","81","units ","0","v812680","11","189.40","","","","2"
"1993","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","191.40","","","","2"
"1993","Halifax","","Dollars","81","units ","0","v812689","2","183.60","","","","2"
"1993","Montréal","","Dollars","81","units ","0","v812688","3","172.60","","","","2"
"1993","Ottawa","","Dollars","81","units ","0","v812687","4","184.60","","","","2"
"1993","Toronto","","Dollars","81","units ","0","v812686","5","206.50","","","","2"
"1993","Winnipeg","","Dollars","81","units ","0","v812685","6","213.10","","","","2"
"1993","Saskatoon","","Dollars","81","units ","0","v812684","7","177.00","","","","2"
"1993","Regina","","Dollars","81","units ","0","v812683","8","186.20","","","","2"
"1993","Calgary","","Dollars","81","units ","0","v812682","9","193.70","","","","2"
"1993","Edmonton","","Dollars","81","units ","0","v812681","10","186.30","","","","2"
"1993","Vancouver","","Dollars","81","units ","0","v812680","11","211.90","","","","2"
"1994","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","199.70","","","","2"
"1994","Halifax","","Dollars","81","units ","0","v812689","2","188.20","","","","2"
"1994","Montréal","","Dollars","81","units ","0","v812688","3","187.90","","","","2"
"1994","Ottawa","","Dollars","81","units ","0","v812687","4","202.40","","","","2"
"1994","Toronto","","Dollars","81","units ","0","v812686","5","218.70","","","","2"
"1994","Winnipeg","","Dollars","81","units ","0","v812685","6","219.20","","","","2"
"1994","Saskatoon","","Dollars","81","units ","0","v812684","7","183.40","","","","2"
"1994","Regina","","Dollars","81","units ","0","v812683","8","194.40","","","","2"
"1994","Calgary","","Dollars","81","units ","0","v812682","9","199.70","","","","2"
"1994","Edmonton","","Dollars","81","units ","0","v812681","10","190.40","","","","2"
"1994","Vancouver","","Dollars","81","units ","0","v812680","11","216.80","","","","2"
"1995","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","195.70","","","","2"
"1995","Halifax","","Dollars","81","units ","0","v812689","2","187.80","","","","2"
"1995","Montréal","","Dollars","81","units ","0","v812688","3","184.80","","","","2"
"1995","Ottawa","","Dollars","81","units ","0","v812687","4","199.00","","","","2"
"1995","Toronto","","Dollars","81","units ","0","v812686","5","215.60","","","","2"
"1995","Winnipeg","","Dollars","81","units ","0","v812685","6","209.90","","","","2"
"1995","Saskatoon","","Dollars","81","units ","0","v812684","7","182.40","","","","2"
"1995","Regina","","Dollars","81","units ","0","v812683","8","183.40","","","","2"
"1995","Calgary","","Dollars","81","units ","0","v812682","9","189.00","","","","2"
"1995","Edmonton","","Dollars","81","units ","0","v812681","10","188.40","","","","2"
"1995","Vancouver","","Dollars","81","units ","0","v812680","11","212.30","","","","2"
"1996","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","177.00","","","","2"
"1996","Halifax","","Dollars","81","units ","0","v812689","2","188.10","","","","2"
"1996","Montréal","","Dollars","81","units ","0","v812688","3","175.70","","","","2"
"1996","Ottawa","","Dollars","81","units ","0","v812687","4","186.50","","","","2"
"1996","Toronto","","Dollars","81","units ","0","v812686","5","203.90","","","","2"
"1996","Winnipeg","","Dollars","81","units ","0","v812685","6","187.40","","","","2"
"1996","Saskatoon","","Dollars","81","units ","0","v812684","7","161.60","","","","2"
"1996","Regina","","Dollars","81","units ","0","v812683","8","162.00","","","","2"
"1996","Calgary","","Dollars","81","units ","0","v812682","9","157.80","","","","2"
"1996","Edmonton","","Dollars","81","units ","0","v812681","10","151.90","","","","2"
"1996","Vancouver","","Dollars","81","units ","0","v812680","11","183.20","","","","2"
"1997","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","182.10","","","","2"
"1997","Halifax","","Dollars","81","units ","0","v812689","2","196.40","","","","2"
"1997","Montréal","","Dollars","81","units ","0","v812688","3","182.10","","","","2"
"1997","Ottawa","","Dollars","81","units ","0","v812687","4","179.50","","","","2"
"1997","Toronto","","Dollars","81","units ","0","v812686","5","210.40","","","","2"
"1997","Winnipeg","","Dollars","81","units ","0","v812685","6","191.00","","","","2"
"1997","Saskatoon","","Dollars","81","units ","0","v812684","7","152.20","","","","2"
"1997","Regina","","Dollars","81","units ","0","v812683","8","158.30","","","","2"
"1997","Calgary","","Dollars","81","units ","0","v812682","9","164.10","","","","2"
"1997","Edmonton","","Dollars","81","units ","0","v812681","10","161.10","","","","2"
"1997","Vancouver","","Dollars","81","units ","0","v812680","11","185.00","","","","2"
"1998","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","192.70","","","","2"
"1998","Halifax","","Dollars","81","units ","0","v812689","2","196.70","","","","2"
"1998","Montréal","","Dollars","81","units ","0","v812688","3","194.70","","","","2"
"1998","Ottawa","","Dollars","81","units ","0","v812687","4","209.60","","","","2"
"1998","Toronto","","Dollars","81","units ","0","v812686","5","224.80","","","","2"
"1998","Winnipeg","","Dollars","81","units ","0","v812685","6","214.10","","","","2"
"1998","Saskatoon","","Dollars","81","units ","0","v812684","7","161.60","","","","2"
"1998","Regina","","Dollars","81","units ","0","v812683","8","168.50","","","","2"
"1998","Calgary","","Dollars","81","units ","0","v812682","9","178.10","","","","2"
"1998","Edmonton","","Dollars","81","units ","0","v812681","10","173.40","","","","2"
"1998","Vancouver","","Dollars","81","units ","0","v812680","11","192.60","","","","2"
"1999","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","209.30","","","","2"
"1999","Halifax","","Dollars","81","units ","0","v812689","2","216.00","","","","2"
"1999","Montréal","","Dollars","81","units ","0","v812688","3","209.40","","","","2"
"1999","Ottawa","","Dollars","81","units ","0","v812687","4","229.50","","","","2"
"1999","Toronto","","Dollars","81","units ","0","v812686","5","244.40","","","","2"
"1999","Winnipeg","","Dollars","81","units ","0","v812685","6","220.80","","","","2"
"1999","Saskatoon","","Dollars","81","units ","0","v812684","7","173.80","","","","2"
"1999","Regina","","Dollars","81","units ","0","v812683","8","184.30","","","","2"
"1999","Calgary","","Dollars","81","units ","0","v812682","9","195.50","","","","2"
"1999","Edmonton","","Dollars","81","units ","0","v812681","10","194.30","","","","2"
"1999","Vancouver","","Dollars","81","units ","0","v812680","11","205.10","","","","2"
"2000","Canada","2016A000011124","Dollars","81","units ","0","v812679","1","223.50","","","","2"
"2000","Halifax","","Dollars","81","units ","0","v812689","2","228.70","","","","2"
"2000","Montréal","","Dollars","81","units ","0","v812688","3","235.80","","","","2"
"2000","Ottawa","","Dollars","81","units ","0","v812687","4","257.50","","","","2"
"2000","Toronto","","Dollars","81","units ","0","v812686","5","263.30","","","","2"
"2000","Winnipeg","","Dollars","81","units ","0","v812685","6","221.10","","","","2"
"2000","Saskatoon","","Dollars","81","units ","0","v812684","7","190.00","","","","2"
"2000","Regina","","Dollars","81","units ","0","v812683","8","199.10","","","","2"
"2000","Calgary","","Dollars","81","units ","0","v812682","9","208.10","","","","2"
"2000","Edmonton","","Dollars","81","units ","0","v812681","10","204.60","","","","2"
